date,ret,n,equity
2023-08-08,-0.013350915635928749,5,98664.90843640713
2023-08-09,-0.008015172408494507,5,97874.09218462101
2023-08-10,-0.0005161519176838233,5,97823.57428424835
2023-08-11,-0.009390128564131914,5,96904.99834511634
2023-08-14,-0.006905473078209776,5,96235.82348790018
2023-08-15,-0.0007997853429790588,2,96158.85548680504
2023-08-16,-0.005606808256086157,5,95619.71122196582
2023-08-17,-0.005271846144333811,5,95115.61881603798
2023-08-18,-0.003312145754758785,5,94800.58202296519
2023-08-21,-0.012188213461887218,5,93645.13229295814
2023-08-22,-0.0028276475030999254,5,93380.33686845249
2023-08-23,-0.005897843625537189,5,92829.59424390236
2023-08-24,-0.011204397382123452,5,91789.49458117242
2023-08-25,-0.005839784203057227,5,91253.46374071068
2023-08-28,-0.00017293590008096905,5,91237.68274082318
2023-08-29,-0.00610772000700975,5,90680.42852055385
2023-08-30,-0.007740935071767793,5,89978.47721109616
2023-08-31,-0.0006912586999007949,5,89916.27880592017
2023-09-01,-0.005327525132165575,5,89437.24757079082
2023-09-04,-0.008409865387588108,5,88685.09235808408
2023-09-05,0.00539442109346028,5,89163.49709097599
2023-09-06,-0.0007288881587691331,5,89098.50687375193
2023-09-07,-0.005115160750506251,5,88642.7536884626
2023-09-08,-0.01071492347192847,5,87692.95336634973
2023-09-11,-0.007429433488435974,5,87041.44440190992
2023-09-12,-0.005682074040363835,5,86546.86847023806
2023-09-13,-0.01019189575507152,5,85664.79180886151
2023-09-14,0.009012478733953357,5,86436.84392328742
2023-09-15,-0.012776570260232763,5,85332.47751382878
2023-09-18,-0.012532418571181045,5,84263.05518790957
2023-09-19,-0.006628565138210293,5,83704.5120378519
2023-09-20,0.0063153652502201535,5,84233.13660446239
2023-09-21,-0.010808484294902651,5,83322.70407036267
2023-09-22,-0.007642008658056784,5,82685.95124444425
2023-09-25,-0.011282108304754743,5,81753.07938722277
2023-09-26,-0.009221377229379865,5,80999.20340252975
2023-09-27,-0.009580883061819243,5,80223.1595066296
2023-09-28,0.0012470986006302733,5,80323.20569658847
2023-09-29,-0.0066264666910592716,5,79790.94664952092
2023-10-02,-0.005758331751266802,3,79331.48390796535
2023-10-03,-0.014539990762176543,5,78178.00486479378
2023-10-04,-0.006026833263141559,5,77706.8390646286
2023-10-05,-0.005405217170646889,5,77286.81672383977
2023-10-06,0.004892141331179203,5,77664.91475428973
2023-10-09,-0.005366816041699271,5,77248.1014439092
2023-10-10,-0.0004216586755356598,5,77215.52911176671
2023-10-11,-0.00019950132102023143,5,77200.12451170564
2023-10-12,-0.007345509792815128,5,76633.05024109836
2023-10-13,-0.009202963926279737,5,75927.79904416874
2023-10-16,-0.004273824509780008,5,75603.29695564012
2023-10-17,-0.009594970888400186,5,74877.88552228367
2023-10-18,-0.014567971598596916,5,73787.06661263206
2023-10-19,-0.007349175377771941,5,73244.79251948449
2023-10-20,-0.007774199337047025,5,72675.37290203736
2023-10-23,-0.00858523296731067,5,72051.4378946872
2023-10-24,0.002944587204651375,5,72263.59963678864
2023-10-25,0.001630005395741932,5,72381.38969411232
2023-10-26,-0.0023263817620240287,5,72213.002949218
2023-10-27,-0.009502319010189572,5,71526.81195851076
2023-10-30,-0.006919127180933957,5,71031.90884972308
2023-10-31,-0.004582798208107105,5,70706.38394512814
2023-11-01,-0.007395840641120807,5,70183.45079716007
2023-11-02,-0.007661929184740254,5,69645.71016721152
2023-11-03,-0.007749697906432526,5,69105.97695293667
2023-11-06,-0.0066371493252707385,5,68647.31026463132
2023-11-07,-0.007051290758688674,5,68163.25812015349
2023-11-08,0.005489633557684318,5,68537.44942933098
2023-11-09,0.003535713870943527,5,68779.77823995736
2023-11-10,-0.003839536218489656,5,68515.69579030537
2023-11-13,-0.0077020708287512145,5,67987.98304844726
2023-11-14,0.02169044868403961,5,69462.67290589097
2023-11-15,-0.008144629541100299,5,68896.92516813785
2023-11-16,-0.007717162094669735,5,68365.236428791
2023-11-17,-0.003646555516796609,5,68115.93879873448
2023-11-20,0.0011699417622814377,5,68195.63048021213
2023-11-21,-0.00786192516401952,5,67659.48153686358
2023-11-22,-0.0051125746357729126,5,67313.56738768867
2023-11-23,-0.008729389732263679,5,66725.96102369254
2023-11-24,-0.005342763477114095,5,66369.45999615981
2023-11-27,-0.009995899348507939,5,65706.03755422337
2023-11-28,-0.0029306585824437755,5,65513.475591346716
2023-11-29,-0.005375496171777736,5,65161.30815410558
2023-11-30,-0.004545137332872526,5,64865.14105975554
2023-12-01,-0.006684106266485643,5,64431.57556392155
2023-12-04,-0.00317360209536591,5,64227.095380704166
2023-12-05,0.003734979410227149,5,64466.982259529796
2023-12-06,0.003884170176250748,5,64717.38298937514
2023-12-07,-0.005259510260459108,5,64377.001249512454
2023-12-08,-0.002253616433594526,5,64231.92018155102
2023-12-11,0.006890910991684521,5,64674.53662634708
2023-12-12,-0.006260082770745088,5,64269.66867390656
2023-12-13,-0.008436112091119927,5,63727.48254491435
2023-12-14,0.0030425721373652436,5,63921.378007689935
2023-12-15,-0.005323369011769649,5,63581.100924814185
2023-12-18,-0.009456732631787798,5,62979.8314529335
2023-12-19,-0.003751889657965521,5,62743.538074644835
2023-12-20,0.001044813006542525,5,62809.093339301726
2023-12-21,-0.006803939966299452,5,62381.744038883415
2023-12-22,-0.001509048553529454,5,62287.6069582749
2023-12-27,-0.008273140597289572,5,61772.292828440375
2023-12-28,-0.005663942783566864,5,61422.41809625035
2023-12-29,-0.0016564978702088584,5,61320.67199149084
2024-01-02,-0.0076776522021471645,5,60849.87319913823
2024-01-03,-0.002420051673488882,2,60702.613361671065
2024-01-04,0.0058564656198355405,5,61058.11612985785
2024-01-05,-0.0019781055748997987,5,60937.33672994851
2024-01-08,-0.0003407479957358319,5,60916.5724545923
2024-01-09,-0.010107156408685678,5,60300.8791289127
2024-01-10,-0.006775490249598057,5,59892.311110332565
2024-01-11,-0.00907695299350116,5,59348.67141771193
2024-01-12,-0.0019294954472204161,5,59234.158426412876
2024-01-15,-0.009521276036632295,5,58670.17365323739
2024-01-16,-0.003051598954810516,5,58491.13581263862
2024-01-17,-0.004296079251559423,5,58239.8532576738
2024-01-18,-0.0014317034773903522,5,58156.47105724209
2024-01-19,-0.005155671680218452,5,57856.63538639082
2024-01-22,-0.003692809640003744,5,57642.98184549778
2024-01-23,0.0019708097766121847,5,57756.585197671964
2024-01-24,-0.009920450489110662,5,57183.61385379836
2024-01-25,-0.007599845404826463,5,56749.027228820196
2024-01-26,-0.005566449221902645,5,56433.136650358596
2024-01-29,-0.0018539374037877504,5,56328.51314750943
2024-01-30,-0.010155844969108605,5,55756.44950064292
2024-01-31,-0.011777301074090548,5,55099.78900805153
2024-02-01,0.001931454503418198,5,55206.21174366852
2024-02-02,-0.007521534816354589,5,54790.97629995948
2024-02-05,-0.012745439422559754,5,54092.641230625435
2024-02-06,-0.008587114788667102,5,53628.14151115587
2024-02-07,-0.0005995300977879786,5,53595.9898262315
2024-02-08,-0.005156929822964547,5,53319.5990679053
2024-02-09,-0.011278783993793593,5,52718.21882738273
2024-02-12,0.003259634174367912,5,52890.06093508426
2024-02-13,-0.013594525831812407,5,52171.045635456125
2024-02-14,-0.005649931976041897,5,51876.28277649682
2024-02-15,-0.011487191191027289,5,51280.369997963404
2024-02-16,-0.001869326719673822,5,51184.510232131455
2024-02-19,-0.0019350426788413116,5,51085.46602033669
2024-02-20,-0.0023709469684238455,5,50964.34508954525
2024-02-21,-0.009877423744883016,5,50460.94865721536
2024-02-22,-0.0055568671305868365,5,50180.543870243855
2024-02-23,0.005500728995239537,5,50456.57344290779
2024-02-26,0.00426097039595065,5,50671.56740862914
2024-02-27,0.005814267904650064,5,50966.18547669144
2024-02-28,-0.0036251093788627646,5,50781.42747971502
2024-02-29,-0.0045967461082071365,5,50547.998150578445
2024-03-01,-0.008805220332833295,5,50102.91188947895
2024-03-04,-0.006146137505482837,5,49794.97250358112
2024-03-05,-0.010538704085143378,5,49270.198023438024
2024-03-06,-0.0032733732731655115,5,49108.918274064534
2024-03-07,0.004936496894072043,5,49351.344296595686
2024-03-08,0.0017285336769872124,5,49436.64975721694
2024-03-11,-0.003284298750824307,5,49274.285030174375
2024-03-12,0.009395345648232004,5,49737.23396960237
2024-03-13,0.004866454040459637,5,49979.277932815035
2024-03-14,-0.009153115785722652,5,49521.81181500917
2024-03-15,-0.0005811700107526483,5,49493.03122310415
2024-03-18,-0.012807504939321377,5,48859.148981252256
2024-03-19,0.000804406611555001,5,48898.45160372773
2024-03-20,0.0017293208609943024,5,48983.01271615638
2024-03-21,-0.003986354268805434,5,48787.74907431638
2024-03-22,-0.004965545070407992,5,48545.4913074041
2024-03-25,-0.01086903093010155,5,48017.84886086696
2024-03-26,-0.0010437224996204004,5,47967.731551627505
2024-03-27,-0.007365042193751078,5,47614.44718481124
2024-03-28,-0.007214507449935667,5,47270.93240087185
2024-04-02,-0.015206002604183907,5,46552.13047968198
2024-04-03,-0.0013986948419712458,5,46487.01825489728
2024-04-04,-0.004764250399001799,5,46265.54245962799
2024-04-05,-0.007350174925377914,5,45925.48262953222
2024-04-08,-0.00033546449256246136,5,45910.076260806214
