date,action,spot,cashflow,n_contracts
2015-02-02,OPEN,1575.949951171875,535.7433743463491,1
2015-02-11,COVER_CLOSE,1593.030029296875,-216.51450326824715,1
2015-02-11,OPEN,1593.030029296875,13.316540776128704,1
2015-02-18,ROLL_PUT_SIDE,1652.1500244140625,82.43290437194622,1
2015-02-19,ROLL_PUT_SIDE,1662.239990234375,-93.82677694171356,1
2015-02-20,ROLL_PUT_SIDE,1664.3299560546875,-155.27520741666763,1
2015-02-20,COVER_CLOSE,1664.3299560546875,-1415.9300141518695,1
2015-02-20,OPEN,1664.3299560546875,94.71194627376138,1
2015-03-03,COVER_CLOSE,1661.8699951171875,-180.87172505254674,1
2015-03-03,OPEN,1661.8699951171875,11.579984646801478,1
2015-03-12,COVER_CLOSE,1661.68994140625,-167.92950032207497,1
2015-03-12,OPEN,1661.68994140625,-64.5412333842203,1
2015-03-23,COVER_CLOSE,1698.3800048828125,-318.4142372704441,1
2015-03-23,OPEN,1698.3800048828125,-14.42279424134395,1
2015-04-01,COVER_CLOSE,1669.489990234375,-263.9610795108088,1
2015-04-01,OPEN,1669.489990234375,74.42404241141358,1
2015-04-14,COVER_CLOSE,1701.3900146484375,-315.91466215644664,1
2015-04-14,OPEN,1701.3900146484375,46.310323094296564,1
2015-04-23,COVER_CLOSE,1689.77001953125,-238.58404753497751,1
2015-04-23,OPEN,1689.77001953125,188.60081622688057,1
2015-04-30,ROLL_CALL_SIDE,1628.0400390625,325.2108825484525,1
2015-05-05,ROLL_CALL_SIDE,1595.47998046875,138.02754022797154,1
2015-05-05,COVER_CLOSE,1595.47998046875,-2744.6380086237086,1
2015-05-05,OPEN,1595.47998046875,589.6107210811754,1
2015-05-15,COVER_CLOSE,1616.47998046875,-627.0059071769999,1
2015-05-15,OPEN,1616.47998046875,700.4459120436634,1
2015-05-26,COVER_CLOSE,1638.489990234375,-490.6227679330258,1
2015-05-26,OPEN,1638.489990234375,488.32735556457624,1
2015-06-04,COVER_CLOSE,1625.02001953125,-189.2992249857051,1
2015-06-04,OPEN,1625.02001953125,11.91359358953099,1
2015-06-15,COVER_CLOSE,1566.989990234375,-669.1949958573766,1
2015-06-15,OPEN,1566.989990234375,56.12154288600527,1
2015-06-23,ROLL_PUT_SIDE,1620.949951171875,235.8222588421644,1
2015-06-25,COVER_CLOSE,1601.1199951171875,-1135.7563054911557,1
2015-06-25,OPEN,1601.1199951171875,302.8201508666315,1
2015-06-30,ROLL_CALL_SIDE,1541.6600341796875,420.75150589081,1
2015-07-01,ROLL_PUT_SIDE,1575.5,-121.37996108224036,1
2015-07-02,ROLL_PUT_SIDE,1562.0999755859375,-486.6310293824099,1
2015-07-06,COVER_CLOSE,1526.93994140625,-1815.890657821587,1
2015-07-06,OPEN,1526.93994140625,679.9490556512544,1
2015-07-10,ROLL_PUT_SIDE,1590.5400390625,513.1365412248845,1
2015-07-13,ROLL_PUT_SIDE,1614.4200439453125,71.35989544396807,1
2015-07-14,ROLL_PUT_SIDE,1616.25,-213.26690986128153,1
2015-07-15,COVER_CLOSE,1601.969970703125,-2763.0667608139324,1
2015-07-15,OPEN,1601.969970703125,887.447826320559,1
2015-07-16,ROLL_PUT_SIDE,1636.1199951171875,461.0620340372176,1
2015-07-17,ROLL_PUT_SIDE,1635.469970703125,-319.26221354183394,1
