date,action,spot,cashflow,n_lots
2015-07-02,OPEN,8444.900390625,11585.428788587633,4
2015-07-03,ROLL_PUT,8484.900390625,0.0,4
2015-07-06,ROLL_PUT,8522.150390625,0.0,4
2015-07-08,ROLL_CALL,8363.0498046875,0.0,4
2015-07-08,STRADDLE_CLOSE,8363.0498046875,-33490.3249638376,4
2015-07-09,OPEN,8328.5498046875,11333.644620447472,4
2015-07-13,ROLL_PUT,8459.650390625,0.0,4
2015-07-15,ROLL_PUT,8523.7998046875,0.0,4
2015-07-15,STRADDLE_CLOSE,8523.7998046875,-34720.13805833842,4
2015-07-16,OPEN,8608.0498046875,8779.678983445481,3
2015-07-21,ROLL_CALL,8529.4501953125,0.0,3
2015-07-22,ROLL_PUT,8633.5,0.0,3
2015-07-22,STRADDLE_CLOSE,8633.5,-17821.14338176675,3
2015-07-23,OPEN,8589.7998046875,9266.875282486608,3
2015-07-24,ROLL_CALL,8521.5498046875,0.0,3
2015-07-30,ROLL_CALL,8421.7998046875,0.0,3
2015-07-30,STRADDLE_CLOSE,8421.7998046875,-23405.67802892429,3
2015-07-30,OPEN,8421.7998046875,13737.348766980322,4
2015-07-31,ROLL_PUT,8532.849609375,0.0,4
2015-08-05,ROLL_PUT,8567.9501953125,0.0,4
2015-08-06,COVER_CLOSE,8588.650390625,-15026.112738426962,4
2015-08-06,OPEN,8588.650390625,11815.151542736037,4
2015-08-10,ROLL_CALL,8525.599609375,0.0,4
2015-08-11,ROLL_CALL,8462.349609375,0.0,4
2015-08-12,ROLL_CALL,8349.4501953125,0.0,4
2015-08-12,STRADDLE_CLOSE,8349.4501953125,-38072.26106696431,4
2015-08-13,OPEN,8355.849609375,12499.250312230217,4
2015-08-14,ROLL_PUT,8518.5498046875,0.0,4
2015-08-14,STRADDLE_CLOSE,8518.5498046875,-44741.07252837243,4
2015-08-20,OPEN,8372.75,10802.614527428332,4
2015-08-21,ROLL_CALL,8299.9501953125,0.0,4
2015-08-27,COVER_CLOSE,7948.9501953125,-67356.0345192842,4
2015-08-27,OPEN,7948.9501953125,8340.70944936723,3
2015-09-01,ROLL_CALL,7785.85009765625,0.0,3
2015-09-02,ROLL_CALL,7717.0,0.0,3
2015-09-03,ROLL_PUT,7823.0,0.0,3
2015-09-03,COVER_CLOSE,7823.0,-10931.548859623568,3
2015-09-03,OPEN,7823.0,8024.333051153957,3
2015-09-04,ROLL_CALL,7655.0498046875,0.0,3
2015-09-07,ROLL_CALL,7558.7998046875,0.0,3
2015-09-08,ROLL_PUT,7688.25,0.0,3
2015-09-09,ROLL_PUT,7818.60009765625,0.0,3
2015-09-10,COVER_CLOSE,7788.10009765625,-25708.619608835812,3
2015-09-10,OPEN,7788.10009765625,8272.696309826486,3
2015-09-14,ROLL_PUT,7872.25,0.0,3
2015-09-18,ROLL_PUT,7981.89990234375,0.0,3
2015-09-18,COVER_CLOSE,7981.89990234375,-2885.2205011084548,3
2015-09-24,OPEN,7868.5,8801.558713618826,3
2015-09-28,ROLL_CALL,7795.7001953125,0.0,3
2015-09-30,ROLL_PUT,7948.89990234375,0.0,3
2015-10-01,COVER_CLOSE,7950.89990234375,-5016.178174159702,3
2015-10-01,OPEN,7950.89990234375,9225.267068614334,3
2015-10-05,ROLL_PUT,8119.2998046875,0.0,3
2015-10-07,ROLL_PUT,8177.39990234375,0.0,3
2015-10-08,COVER_CLOSE,8129.35009765625,-10796.678662777304,3
2015-10-08,OPEN,8129.35009765625,8654.733278490065,3
2015-10-14,ROLL_CALL,8107.89990234375,0.0,3
2015-10-15,ROLL_PUT,8179.5,0.0,3
2015-10-15,COVER_CLOSE,8179.5,-2846.683868291229,3
2015-10-15,OPEN,8179.5,7656.930440094609,3
2015-10-16,ROLL_PUT,8238.150390625,0.0,3
2015-10-19,ROLL_PUT,8275.0498046875,0.0,3
2015-10-23,ROLL_PUT,8295.4501953125,0.0,3
2015-10-23,COVER_CLOSE,8295.4501953125,-1927.0826507990414,3
2015-10-29,OPEN,8111.75,12020.271511444003,4
2015-10-30,ROLL_CALL,8065.7998046875,0.0,4
2015-11-03,ROLL_CALL,8060.7001953125,0.0,4
2015-11-04,ROLL_CALL,8040.2001953125,0.0,4
2015-11-05,ROLL_CALL,7955.4501953125,0.0,4
2015-11-05,STRADDLE_CLOSE,7955.4501953125,-19849.621588057056,4
2015-11-05,OPEN,7955.4501953125,10904.130212460006,4
2015-11-09,ROLL_CALL,7915.2001953125,0.0,4
2015-11-13,COVER_CLOSE,7762.25,-28707.2830949031,4
2015-11-19,OPEN,7842.75,11835.551482486939,4
2015-11-24,ROLL_CALL,7831.60009765625,0.0,4
2015-11-26,ROLL_PUT,7883.7998046875,0.0,4
2015-11-26,COVER_CLOSE,7883.7998046875,-9248.657273519164,4
2015-11-26,OPEN,7883.7998046875,9964.755006429148,4
2015-11-27,ROLL_PUT,7942.7001953125,0.0,4
2015-12-03,ROLL_CALL,7864.14990234375,0.0,4
2015-12-03,STRADDLE_CLOSE,7864.14990234375,-17365.39320221851,4
2015-12-03,OPEN,7864.14990234375,11004.997543253536,4
2015-12-04,ROLL_CALL,7781.89990234375,0.0,4
2015-12-07,ROLL_CALL,7765.39990234375,0.0,4
2015-12-08,ROLL_CALL,7701.7001953125,0.0,4
2015-12-08,STRADDLE_CLOSE,7701.7001953125,-33180.44973752507,4
2015-12-10,OPEN,7683.2998046875,11244.265796827673,4
2015-12-11,ROLL_CALL,7610.4501953125,0.0,4
2015-12-15,ROLL_PUT,7700.89990234375,0.0,4
2015-12-16,ROLL_PUT,7750.89990234375,0.0,4
2015-12-16,STRADDLE_CLOSE,7750.89990234375,-26761.119182577117,4
2015-12-17,OPEN,7844.35009765625,9937.352710040981,4
2015-12-18,ROLL_CALL,7761.9501953125,0.0,4
2015-12-21,ROLL_PUT,7834.4501953125,0.0,4
2015-12-23,ROLL_PUT,7865.9501953125,0.0,4
2015-12-23,STRADDLE_CLOSE,7865.9501953125,-23295.26605233319,4
2015-12-24,OPEN,7861.0498046875,11233.344699275205,4
2015-12-28,ROLL_PUT,7925.14990234375,0.0,4
2015-12-31,ROLL_PUT,7946.35009765625,0.0,4
2015-12-31,COVER_CLOSE,7946.35009765625,-9974.683387695308,4
2015-12-31,OPEN,7946.35009765625,12318.934678755091,4
2016-01-04,ROLL_CALL,7791.2998046875,0.0,4
2016-01-04,STRADDLE_CLOSE,7791.2998046875,-32900.8475761072,4
2016-01-07,OPEN,7568.2998046875,11166.166115122129,4
2016-01-12,ROLL_CALL,7510.2998046875,0.0,4
2016-01-14,COVER_CLOSE,7536.7998046875,-4183.658136626465,4
2016-01-14,OPEN,7536.7998046875,10871.472786187844,4
2016-01-15,ROLL_CALL,7437.7998046875,0.0,4
2016-01-18,ROLL_CALL,7351.0,0.0,4
2016-01-19,ROLL_PUT,7435.10009765625,0.0,4
2016-01-19,STRADDLE_CLOSE,7435.10009765625,-42951.5452076626,4
2016-01-21,OPEN,7276.7998046875,13065.750053042311,4
2016-01-22,ROLL_PUT,7422.4501953125,0.0,4
2016-01-28,COVER_CLOSE,7424.64990234375,-18926.93803865181,4
2016-01-28,OPEN,7424.64990234375,11613.813289328702,4
2016-01-29,ROLL_PUT,7563.5498046875,0.0,4
2016-02-02,ROLL_CALL,7455.5498046875,0.0,4
2016-02-04,ROLL_CALL,7404.0,0.0,4
2016-02-04,STRADDLE_CLOSE,7404.0,-44103.4950912162,4
2016-02-04,OPEN,7404.0,12438.292447858401,4
2016-02-05,ROLL_PUT,7489.10009765625,0.0,4
2016-02-08,ROLL_CALL,7387.25,0.0,4
2016-02-09,ROLL_CALL,7298.2001953125,0.0,4
2016-02-11,COVER_CLOSE,6976.35009765625,-86119.07899010014,4
2016-02-11,OPEN,6976.35009765625,12306.573710538847,4
2016-02-15,ROLL_PUT,7162.9501953125,0.0,4
2016-02-16,ROLL_CALL,7048.25,0.0,4
2016-02-18,ROLL_PUT,7191.75,0.0,4
2016-02-18,COVER_CLOSE,7191.75,-43716.04068190184,4
2016-02-18,OPEN,7191.75,10504.976093643741,4
2016-02-23,ROLL_CALL,7109.5498046875,0.0,4
2016-02-24,ROLL_CALL,7018.7001953125,0.0,4
2016-02-25,ROLL_CALL,6970.60009765625,0.0,4
2016-02-25,COVER_CLOSE,6970.60009765625,-13218.590259840887,4
2016-02-25,OPEN,6970.60009765625,10461.784783110219,4
2016-02-26,ROLL_PUT,7029.75,0.0,4
2016-03-01,ROLL_PUT,7222.2998046875,0.0,4
2016-03-02,ROLL_PUT,7368.85009765625,0.0,4
2016-03-03,COVER_CLOSE,7475.60009765625,-55246.61410575723,4
2016-03-03,OPEN,7475.60009765625,8906.465483216449,3
2016-03-09,ROLL_PUT,7531.7998046875,0.0,3
2016-03-10,COVER_CLOSE,7486.14990234375,-1742.6721245058575,3
2016-03-10,OPEN,7486.14990234375,9171.813527457243,3
2016-03-14,ROLL_PUT,7538.75,0.0,3
2016-03-15,ROLL_CALL,7460.60009765625,0.0,3
2016-03-17,ROLL_PUT,7512.5498046875,0.0,3
2016-03-17,COVER_CLOSE,7512.5498046875,-1056.4143124139446,3
2016-03-17,OPEN,7512.5498046875,12175.859991901283,4
2016-03-18,ROLL_PUT,7604.35009765625,0.0,4
2016-03-21,ROLL_PUT,7704.25,0.0,4
2016-03-28,ROLL_CALL,7615.10009765625,0.0,4
2016-03-28,COVER_CLOSE,7615.10009765625,-8274.307652029383,4
2016-03-31,OPEN,7738.39990234375,12713.116985791978,4
2016-04-05,ROLL_CALL,7603.2001953125,0.0,4
2016-04-07,ROLL_CALL,7546.4501953125,0.0,4
2016-04-07,COVER_CLOSE,7546.4501953125,-15028.7976227764,4
2016-04-07,OPEN,7546.4501953125,9744.44685723432,4
2016-04-11,ROLL_PUT,7671.39990234375,0.0,4
2016-04-12,ROLL_PUT,7708.9501953125,0.0,4
2016-04-18,COVER_CLOSE,7914.7001953125,-28280.287162033736,4
2016-04-21,OPEN,7912.0498046875,9138.668926820621,3
2016-04-25,ROLL_CALL,7855.0498046875,0.0,3
2016-04-26,ROLL_PUT,7962.64990234375,0.0,3
2016-04-28,ROLL_CALL,7847.25,0.0,3
2016-04-28,STRADDLE_CLOSE,7847.25,-22390.303113757207,3
2016-04-28,OPEN,7847.25,8058.3019761573305,3
2016-05-02,ROLL_CALL,7805.89990234375,0.0,3
2016-05-03,ROLL_CALL,7747.0,0.0,3
2016-05-04,ROLL_CALL,7706.5498046875,0.0,3
2016-05-05,COVER_CLOSE,7735.5,-8418.422299692942,3
2016-05-05,OPEN,7735.5,12573.569816346097,4
2016-05-09,ROLL_PUT,7866.0498046875,0.0,4
2016-05-12,ROLL_PUT,7900.39990234375,0.0,4
2016-05-12,COVER_CLOSE,7900.39990234375,-10762.529228598993,4
2016-05-12,OPEN,7900.39990234375,13302.834511993618,4
2016-05-13,ROLL_CALL,7814.89990234375,0.0,4
2016-05-17,ROLL_PUT,7890.75,0.0,4
2016-05-19,COVER_CLOSE,7783.39990234375,-23065.20803540667,4
2016-05-19,OPEN,7783.39990234375,11677.547710066308,4
2016-05-20,ROLL_CALL,7749.7001953125,0.0,4
2016-05-25,ROLL_PUT,7934.89990234375,0.0,4
2016-05-25,STRADDLE_CLOSE,7934.89990234375,-41527.712816133164,4
2016-05-26,OPEN,8069.64990234375,7659.43261190357,3
2016-05-27,ROLL_PUT,8156.64990234375,0.0,3
2016-06-02,ROLL_PUT,8218.9501953125,0.0,3
2016-06-02,COVER_CLOSE,8218.9501953125,-7801.246398270918,3
2016-06-02,OPEN,8218.9501953125,8718.898402284038,3
2016-06-07,ROLL_PUT,8266.4501953125,0.0,3
2016-06-09,ROLL_CALL,8203.599609375,0.0,3
2016-06-09,COVER_CLOSE,8203.599609375,-7009.272248660271,3
2016-06-09,OPEN,8203.599609375,7646.53829472921,3
2016-06-13,ROLL_CALL,8110.60009765625,0.0,3
2016-06-15,ROLL_PUT,8206.599609375,0.0,3
2016-06-16,ROLL_CALL,8140.75,0.0,3
2016-06-16,COVER_CLOSE,8140.75,-11152.426651694772,3
2016-06-16,OPEN,8140.75,11611.422498269842,4
2016-06-17,ROLL_PUT,8170.2001953125,0.0,4
2016-06-20,ROLL_PUT,8238.5,0.0,4
2016-06-22,ROLL_CALL,8203.7001953125,0.0,4
2016-06-23,ROLL_PUT,8270.4501953125,0.0,4
2016-06-23,STRADDLE_CLOSE,8270.4501953125,-13234.172623409922,4
2016-06-23,OPEN,8270.4501953125,11953.370692736387,4
2016-06-29,ROLL_CALL,8204.0,0.0,4
2016-06-29,STRADDLE_CLOSE,8204.0,-23722.47767387484,4
2016-06-30,OPEN,8287.75,11215.224297885812,4
2016-07-01,ROLL_PUT,8328.349609375,0.0,4
2016-07-04,ROLL_PUT,8370.7001953125,0.0,4
2016-07-07,COVER_CLOSE,8337.900390625,-8789.77108880263,4
2016-07-07,OPEN,8337.900390625,11393.05563665944,4
2016-07-11,ROLL_PUT,8467.900390625,0.0,4
2016-07-12,ROLL_PUT,8521.0498046875,0.0,4
2016-07-12,STRADDLE_CLOSE,8521.0498046875,-30402.174082072845,4
2016-07-14,OPEN,8565.0,9170.259830659323,3
2016-07-18,ROLL_CALL,8508.7001953125,0.0,3
