date,action,spot,cashflow,n_lots
2015-02-05,OPEN,8711.7001953125,4686.27207932145,4
2015-02-06,ROLL_CALL,8661.0498046875,2494.8334323377744,4
2015-02-09,ROLL_CALL,8526.349609375,13550.76632685935,4
2015-02-11,ROLL_PUT,8627.400390625,12880.726171195345,4
2015-02-11,FLY_CLOSE,8627.400390625,-45308.10855382787,4
2015-02-12,OPEN,8711.5498046875,2906.6204077331076,3
2015-02-13,ROLL_PUT,8805.5,2116.9079797025115,3
2015-02-18,ROLL_PUT,8869.099609375,1152.476553581685,3
2015-02-19,ROLL_PUT,8895.2998046875,335.1530733758739,3
2015-02-19,COVER_CLOSE,8895.2998046875,-5034.519053303355,3
2015-02-19,OPEN,8895.2998046875,5880.263231212585,4
2015-02-20,ROLL_CALL,8833.599609375,3573.718902857284,4
2015-02-23,ROLL_CALL,8754.9501953125,6751.623823637722,4
2015-02-26,COVER_CLOSE,8683.849609375,-16779.48502444978,4
2015-02-26,OPEN,8683.849609375,2529.409406241147,3
2015-02-27,ROLL_PUT,8844.599609375,10982.54613891506,3
2015-03-04,ROLL_PUT,8922.650390625,9484.02601103521,3
2015-03-04,FLY_CLOSE,8922.650390625,-24943.803022703443,3
2015-03-05,OPEN,8937.75,2375.612082923602,3
2015-03-09,ROLL_CALL,8756.75,7234.404253054672,3
2015-03-10,ROLL_CALL,8712.0498046875,4595.271109416781,3
2015-03-12,COVER_CLOSE,8776.0,-16007.378751306667,3
2015-03-12,OPEN,8776.0,4235.032048074924,4
2015-03-13,ROLL_CALL,8647.75,7916.272428755881,4
2015-03-19,ROLL_CALL,8634.650390625,3942.662003371198,4
2015-03-19,COVER_CLOSE,8634.650390625,-15185.761003480924,4
2015-03-19,OPEN,8634.650390625,4252.238636540578,4
2015-03-20,ROLL_CALL,8570.900390625,2171.420082988989,4
2015-03-23,ROLL_CALL,8550.900390625,2800.7730950347172,4
2015-03-26,ROLL_CALL,8342.150390625,18035.145970156816,4
2015-03-26,FLY_CLOSE,8342.150390625,-34065.93838072078,4
2015-03-26,OPEN,8342.150390625,2005.734063441983,2
2015-03-30,ROLL_PUT,8492.2998046875,3824.784120832629,2
2015-04-01,ROLL_PUT,8586.25,3371.724753617006,2
2015-04-06,ROLL_PUT,8659.900390625,3567.7438573381673,2
2015-04-06,FLY_CLOSE,8659.900390625,-10788.08358694018,2
2015-04-09,OPEN,8778.2998046875,3216.6371563717285,3
2015-04-16,ROLL_CALL,8706.7001953125,1969.9192845048474,3
2015-04-16,COVER_CLOSE,8706.7001953125,-6181.308978676308,3
2015-04-16,OPEN,8706.7001953125,2084.301562565198,3
2015-04-17,ROLL_CALL,8606.0,3107.421541568334,3
2015-04-20,ROLL_CALL,8448.099609375,12662.58809356715,3
2015-04-20,FLY_CLOSE,8448.099609375,-20296.204100287243,3
2015-04-23,OPEN,8398.2998046875,2930.7732135586866,2
2015-04-24,ROLL_CALL,8305.25,2298.36127862771,2
2015-04-27,ROLL_CALL,8213.7998046875,4220.471617649486,2
2015-04-30,ROLL_CALL,8181.5,2807.633642082493,2
2015-04-30,COVER_CLOSE,8181.5,-10489.884790501801,2
2015-04-30,OPEN,8181.5,3127.815054077332,3
2015-05-04,ROLL_PUT,8331.9501953125,3198.0968153184435,3
2015-05-06,ROLL_CALL,8097.0,15885.567542626919,3
2015-05-06,FLY_CLOSE,8097.0,-37228.139060574926,3
2015-05-07,OPEN,8057.2998046875,3211.0878788638183,3
2015-05-08,ROLL_PUT,8191.5,5586.490169134353,3
2015-05-11,ROLL_PUT,8325.25,10646.8365952455,3
2015-05-13,ROLL_CALL,8235.4501953125,5909.333838628324,3
2015-05-13,FLY_CLOSE,8235.4501953125,-34394.98290273824,3
2015-05-14,OPEN,8224.2001953125,1985.559217034025,2
2015-05-18,ROLL_PUT,8373.650390625,2093.833963870278,2
2015-05-20,ROLL_PUT,8423.25,950.0353898274179,2
2015-05-21,COVER_CLOSE,8421.0,-4645.84477751178,2
2015-05-21,OPEN,8421.0,2235.9503981681637,2
2015-05-25,ROLL_CALL,8370.25,456.40199022601496,2
2015-05-26,ROLL_CALL,8339.349609375,629.7602780006277,2
2015-05-28,COVER_CLOSE,8319.0,-3058.619319748351,2
2015-05-28,OPEN,8319.0,2147.509082533335,2
2015-05-29,ROLL_PUT,8433.650390625,2741.7568296961686,2
2015-06-02,ROLL_CALL,8236.4501953125,6054.068906916694,2
2015-06-03,ROLL_CALL,8135.10009765625,6057.668235913925,2
2015-06-03,FLY_CLOSE,8135.10009765625,-20677.40626055589,2
2015-06-04,OPEN,8130.64990234375,2396.0774830056976,2
2015-06-08,ROLL_CALL,8044.14990234375,834.3336746738514,2
2015-06-09,ROLL_CALL,8022.39990234375,-10.7231596669954,2
2015-06-10,ROLL_PUT,8124.4501953125,936.053457787717,2
2015-06-11,ROLL_CALL,7965.35009765625,4110.4621459789205,2
2015-06-11,COVER_CLOSE,7965.35009765625,-12442.06660481321,2
2015-06-11,OPEN,7965.35009765625,3631.742638556225,3
2015-06-16,ROLL_PUT,8047.2998046875,1104.0535075224175,3
2015-06-17,ROLL_PUT,8091.5498046875,1823.2243175911203,3
2015-06-18,ROLL_PUT,8174.60009765625,4544.075551139425,3
2015-06-18,COVER_CLOSE,8174.60009765625,-12788.928832034893,3
2015-06-18,OPEN,8174.60009765625,3679.346824356411,3
2015-06-19,ROLL_PUT,8224.9501953125,736.4305353810105,3
2015-06-22,ROLL_PUT,8353.099609375,7045.450547014854,3
2015-06-25,ROLL_PUT,8398.0,4620.622577182048,3
2015-06-25,COVER_CLOSE,8398.0,-16947.26721838178,3
2015-06-25,OPEN,8398.0,3202.455614428175,3
2015-06-29,ROLL_CALL,8318.400390625,2904.7579752024512,3
2015-06-30,ROLL_PUT,8368.5,507.3955804322759,3
2015-07-01,ROLL_PUT,8453.0498046875,2809.79447428421,3
2015-07-02,COVER_CLOSE,8444.900390625,-9516.066574817316,3
2015-07-02,OPEN,8444.900390625,2810.368937003101,3
2015-07-03,ROLL_PUT,8484.900390625,2520.371321735605,3
2015-07-06,ROLL_PUT,8522.150390625,928.5197991733271,3
2015-07-08,ROLL_CALL,8363.0498046875,8622.574705037317,3
