date,ticker,order,gross,outcome,net
2023-08-08,ABB.ST,0,-0.007617262938679259,STOP,-0.01151726293867926
2023-08-09,ABB.ST,0,-0.005932605686306935,STOP,-0.009832605686306936
2023-08-11,ABB.ST,1,0.012360654454852682,EOD,0.008460654454852681
2023-08-14,ABB.ST,7,-0.0009555515782421198,EOD,-0.00485555157824212
2023-08-16,ABB.ST,0,-0.0036144578313253017,EOD,-0.0075144578313253016
2023-08-18,ABB.ST,0,0.0034687657961167684,EOD,-0.00043123420388323144
2023-08-21,ABB.ST,0,-0.008814902442011552,STOP,-0.012714902442011553
2023-08-22,ABB.ST,6,-0.003423805129326496,EOD,-0.007323805129326496
2023-08-23,ABB.ST,0,-0.0019503127419291388,EOD,-0.005850312741929139
2023-08-24,ABB.ST,0,-0.00507615673567996,STOP,-0.00897615673567996
2023-08-25,ABB.ST,4,0.0007295422764181936,EOD,-0.0031704577235818062
2023-08-29,ABB.ST,1,-0.0038387131305105404,STOP,-0.00773871313051054
2023-08-30,ABB.ST,0,-0.005983724444814542,STOP,-0.009883724444814543
2023-08-31,ABB.ST,0,-0.005265633685330062,STOP,-0.009165633685330063
2023-09-01,ABB.ST,0,-0.003831432184220329,STOP,-0.007731432184220329
2023-09-04,ABB.ST,0,-0.005989458640528911,STOP,-0.009889458640528911
2023-09-06,ABB.ST,1,0.009671179741227665,EOD,0.005771179741227665
2023-09-07,ABB.ST,1,-0.009069183276775084,STOP,-0.012969183276775084
2023-09-11,ABB.ST,0,-0.006079766356478888,STOP,-0.009979766356478889
2023-09-14,ABB.ST,1,0.008968625207413483,EOD,0.005068625207413483
2023-09-15,ABB.ST,0,-0.006832571684661226,STOP,-0.010732571684661227
2023-09-18,ABB.ST,4,0.0014616470243986601,EOD,-0.0024383529756013397
2023-09-20,ABB.ST,5,-0.001718590008426224,EOD,-0.005618590008426224
2023-09-21,ABB.ST,6,-0.003940901732797153,EOD,-0.007840901732797154
2023-09-27,ABB.ST,0,0.0012833675363628227,EOD,-0.002616632463637177
2023-09-28,ABB.ST,2,0.00408469628816821,EOD,0.00018469628816821047
2023-09-29,ABB.ST,1,-0.010395553161676063,STOP,-0.014295553161676064
2023-10-02,ABB.ST,0,-0.0065276818117527835,EOD,-0.010427681811752784
2023-10-03,ABB.ST,0,-0.005815392649731299,STOP,-0.0097153926497313
2023-10-04,ABB.ST,0,0.0005080835527235816,EOD,-0.003391916447276418
2023-10-05,ABB.ST,0,-0.006059060488520118,STOP,-0.009959060488520119
2023-10-06,ABB.ST,2,0.0,EOD,-0.0039
2023-10-10,ABB.ST,0,-0.0010009857116487497,EOD,-0.0049009857116487495
2023-10-11,ABB.ST,0,0.007248172587465795,EOD,0.0033481725874657956
2023-10-12,ABB.ST,0,-0.005155844951816979,STOP,-0.00905584495181698
2023-10-18,ABB.ST,0,-0.01239454656047112,EOD,-0.01629454656047112
2023-10-19,ABB.ST,0,-0.006706008803273766,EOD,-0.010606008803273767
2023-10-23,ABB.ST,1,0.007385070143266503,EOD,0.0034850701432665035
2023-10-24,ABB.ST,6,-0.002715177934141333,EOD,-0.006615177934141333
2023-10-25,ABB.ST,4,0.0,EOD,-0.0039
2023-10-26,ABB.ST,0,0.007324963767620929,EOD,0.003424963767620929
2023-10-27,ABB.ST,0,-0.004044216836570302,EOD,-0.007944216836570303
2023-10-31,ABB.ST,0,0.0029498689233580233,EOD,-0.0009501310766419765
2023-11-01,ABB.ST,4,0.000797073101519219,EOD,-0.003102926898480781
2023-11-02,ABB.ST,0,-0.0031413932121237,EOD,-0.0070413932121237
2023-11-08,ABB.ST,0,0.006892830068389477,EOD,0.0029928300683894774
2023-11-09,ABB.ST,1,0.004094181559604504,EOD,0.0001941815596045041
2023-11-13,ABB.ST,0,-0.005102040816326481,STOP,-0.009002040816326481
2023-11-14,ABB.ST,0,0.008633886540011737,EOD,0.004733886540011737
2023-11-15,ABB.ST,0,-0.0032475339310804596,EOD,-0.0071475339310804594
