date,equity,cash,n_positions
2015-10-16,49961.0,41651.70869445801,1
2015-10-23,50381.92478942871,24875.44181251526,3
2015-10-30,50838.51218986511,34081.21697425842,2
2015-11-06,51453.31457710266,42820.906549453735,1
2015-11-13,51805.15257835388,51805.15257835388,0
2015-11-20,51805.15257835388,51805.15257835388,0
2015-11-27,51805.15257835388,51805.15257835388,0
2015-12-04,51805.15257835388,51805.15257835388,0
2015-12-11,51805.15257835388,51805.15257835388,0
2015-12-18,51805.15257835388,51805.15257835388,0
2015-12-25,51805.15257835388,51805.15257835388,0
2016-01-01,51805.15257835388,51805.15257835388,0
2016-01-08,51805.15257835388,51805.15257835388,0
2016-01-15,51805.15257835388,51805.15257835388,0
2016-01-22,51688.15257835388,25911.421056747437,3
2016-01-29,52780.437101364136,34793.37480735779,2
2016-02-05,51606.818983078,34793.37480735779,2
2016-02-12,50992.76843833923,34793.37480735779,2
2016-02-19,52184.11427116394,43843.60873222351,1
2016-02-26,52163.78124809265,43843.60873222351,1
2016-03-04,52204.445432662964,43843.60873222351,1
2016-03-11,52072.29614067078,43843.60873222351,1
2016-03-18,51975.72614860535,43843.60873222351,1
2016-03-25,51782.58988761902,43843.60873222351,1
2016-04-01,51914.73731803894,43843.60873222351,1
2016-04-08,52057.048933029175,43843.60873222351,1
2016-04-15,52145.11427116394,52145.11427116394,0
2016-04-22,52145.11427116394,52145.11427116394,0
2016-04-29,52145.11427116394,52145.11427116394,0
2016-05-06,52145.11427116394,52145.11427116394,0
2016-05-13,52145.11427116394,52145.11427116394,0
2016-05-20,52145.11427116394,52145.11427116394,0
2016-05-27,52067.11427116394,34749.959005355835,2
2016-06-03,51768.508893966675,34749.959005355835,2
2016-06-10,50999.458112716675,34749.959005355835,2
2016-06-17,49978.09174156189,42013.33794212341,1
2016-06-24,50447.606092453,33565.443700790405,2
2016-07-01,49987.10771751404,157.86712455749512,6
2016-07-08,49467.69766044617,16864.741048812866,4
2016-07-15,50409.29255485535,17068.200033187866,4
2016-07-22,51556.67098045349,43085.85227012634,1
2016-07-29,51757.23546409607,43085.85227012634,1
2016-08-05,51747.72687339783,34453.98789024353,2
2016-08-12,51942.142599105835,43345.920431137085,1
2016-08-19,51747.38522911072,43345.920431137085,1
2016-08-26,52298.081884384155,43345.920431137085,1
2016-09-02,52418.96549034119,43345.920431137085,1
2016-09-09,52140.25856590271,43345.920431137085,1
2016-09-16,52013.954458236694,34673.32744407654,2
2016-09-23,52375.485372543335,34673.32744407654,2
2016-09-30,51673.98337364197,26036.641275405884,3
2016-10-07,51763.8223323822,26036.641275405884,3
2016-10-14,52057.723360061646,26148.709398269653,3
2016-10-21,51497.30421638489,9163.82631111145,5
2016-10-28,50389.86995124817,9371.881349563599,5
2016-11-04,49100.46330833435,9371.881349563599,5
2016-11-11,49512.40217781067,1183.2711505889893,6
2016-11-18,50538.162733078,1183.2711505889893,6
2016-11-25,50999.708936691284,9951.308275222778,5
2016-12-02,49356.306356430054,17200.37858772278,4
2016-12-09,49850.299642562866,16917.896276474,4
2016-12-16,50488.793451309204,16917.896276474,4
2016-12-23,50718.274686813354,16917.896276474,4
2016-12-30,50874.606607437134,16917.896276474,4
2017-01-06,50633.70592689514,33882.30055809021,2
2017-01-13,50879.305112838745,33882.30055809021,2
2017-01-20,50520.74770927429,42009.56999397278,1
2017-01-27,50822.194887161255,50822.194887161255,0
2017-02-03,50822.194887161255,50822.194887161255,0
2017-02-10,50822.194887161255,50822.194887161255,0
2017-02-17,50822.194887161255,50822.194887161255,0
2017-02-24,50822.194887161255,50822.194887161255,0
2017-03-03,50783.194887161255,42413.04864692688,1
2017-03-10,50659.10208320618,33973.39475440979,2
2017-03-17,50426.13015937805,25534.442377090454,3
2017-03-24,50153.642765045166,25534.442377090454,3
2017-03-31,50459.96821022034,252.19395637512207,6
2017-04-07,50582.58045768738,252.19395637512207,6
2017-04-14,50863.87557029724,17629.33310508728,4
2017-04-21,51074.803647994995,9175.422201156616,5
2017-04-28,52380.54816246033,26774.286695480347,3
2017-05-05,52560.06581687927,44016.71071434021,1
2017-05-12,52657.4381313324,52657.4381313324,0
2017-05-19,52618.4381313324,43957.60997581482,1
2017-05-26,52650.514684677124,43957.60997581482,1
2017-06-02,52419.051473617554,35263.159215927124,2
2017-06-09,52686.23694419861,26492.02120780945,3
2017-06-16,51709.250608444214,26492.02120780945,3
2017-06-23,51727.59118461609,26492.02120780945,3
2017-06-30,51676.386991500854,26492.02120780945,3
2017-07-07,52014.8902797699,9140.336545944214,5
2017-07-14,53021.356077194214,26879.037504196167,3
2017-07-21,52313.71300315857,35138.14272880554,2
2017-07-28,52326.123876571655,44180.537229537964,1
2017-08-04,52006.69724082947,8578.47117805481,5
2017-08-11,51114.64565849304,8578.47117805481,5
2017-08-18,50169.799112319946,16329.053380966187,4
2017-08-25,50329.336866378784,2.503324508666992,6
2017-09-01,51454.0694026947,2.503324508666992,6
2017-09-08,51284.1942615509,2.503324508666992,6
2017-09-15,52108.79270362854,9034.960042953491,5
2017-09-22,52672.50399971008,703.4196262359619,6
2017-09-29,54057.58528327942,36300.10067176819,2
2017-10-06,54166.822473526,36300.10067176819,2
2017-10-13,54030.6475315094,36193.773080825806,2
2017-10-20,54805.734994888306,54805.734994888306,0
2017-10-27,54805.734994888306,54805.734994888306,0
2017-11-03,54766.734994888306,45679.64373970032,1
2017-11-10,54766.734994888306,45679.64373970032,1
2017-11-17,54462.06523323059,45679.64373970032,1
2017-11-24,54317.09408760071,36588.04153633118,2
2017-12-01,53683.02269935608,36588.04153633118,2
2017-12-08,53730.278688430786,27609.320711135864,3
2017-12-15,53840.05761528015,18626.22751045227,4
2017-12-22,54036.13548088074,596.6020679473877,6
2017-12-29,53403.57823753357,596.6020679473877,6
2018-01-05,55076.61236000061,774.1023426055908,6
2018-01-12,55570.75171279907,774.1023426055908,6
2018-01-19,55681.14622879028,774.1023426055908,6
2018-01-26,54898.873680114746,369.4867916107178,6
2018-02-02,54468.37540245056,9674.422262191772,5
2018-02-09,52290.83440208435,17696.916341781616,4
2018-02-16,53577.52512168884,56.25985145568848,6
2018-02-23,54918.0525226593,56.25985145568848,6
2018-03-02,52648.884046554565,9247.443761825562,5
2018-03-09,54935.13091087341,75.57492637634277,6
2018-03-16,55058.902059555054,18705.3085231781,4
2018-03-23,53797.55386924744,18705.3085231781,4
2018-03-30,54474.92439079285,18330.463399887085,4
2018-04-06,54034.19515800476,18330.463399887085,4
2018-04-13,55558.62740898132,18775.023611068726,4
2018-04-20,56360.30792045593,37745.56296348572,2
2018-04-27,56241.43349266052,37745.56296348572,2
2018-05-04,56304.39151573181,47253.15320396423,1
2018-05-11,56682.484167099,56682.484167099,0
2018-05-18,56643.484167099,47230.51166343689,1
2018-05-25,56674.75610923767,47230.51166343689,1
2018-06-01,57007.02496910095,47230.51166343689,1
2018-06-08,57464.474157333374,57464.474157333374,0
2018-06-15,57464.474157333374,57464.474157333374,0
2018-06-22,57464.474157333374,57464.474157333374,0
2018-06-29,57425.474157333374,47854.44937705994,1
2018-07-06,57140.44425010681,47854.44937705994,1
2018-07-13,57638.509557724,19498.004384994507,4
2018-07-20,59187.53575706482,20114.411375045776,4
2018-07-27,59997.05788230896,10201.257680892944,5
2018-08-03,60500.32824134827,30641.433137893677,3
2018-08-10,60814.327432632446,50741.36108589172,1
2018-08-17,61319.929765701294,50741.36108589172,1
2018-08-24,61558.62420082092,50741.36108589172,1
2018-08-31,62251.98713874817,62251.98713874817,0
2018-09-07,62251.98713874817,62251.98713874817,0
2018-09-14,62173.98713874817,41518.055894851685,2
2018-09-21,62321.3231678009,41518.055894851685,2
2018-09-28,61932.10267829895,41518.055894851685,2
2018-10-05,61813.70834541321,41518.055894851685,2
2018-10-12,60666.27229499817,41518.055894851685,2
2018-10-19,59765.28663825989,593.4447612762451,6
2018-10-26,57940.922830581665,102.03484153747559,6
2018-11-02,59526.660873413086,387.66898918151855,6
2018-11-09,59310.320125579834,10525.845258712769,5
2018-11-16,58656.11068725586,19486.36396598816,4
2018-11-23,57355.52632141113,19486.36396598816,4
2018-11-30,59634.11529922485,19486.36396598816,4
2018-12-07,58108.125383377075,9798.871961593628,5
2018-12-14,58823.94174003601,9798.871961593628,5
2018-12-21,57024.59176826477,9798.871961593628,5
2018-12-28,57504.09485054016,9798.871961593628,5
2019-01-04,57961.88306427002,102.23933219909668,6
2019-01-11,58773.55431365967,40237.70820617676,2
2019-01-18,59114.790618896484,49724.565368652344,1
2019-01-25,59602.08947753906,49724.565368652344,1
2019-02-01,59494.88165283203,49724.565368652344,1
2019-02-08,59585.018798828125,59585.018798828125,0
2019-02-15,59546.018798828125,49635.01133728027,1
2019-02-22,59622.88021469116,59622.88021469116,0
2019-03-01,59622.88021469116,59622.88021469116,0
2019-03-08,59583.88021469116,49647.60891151428,1
2019-03-15,59862.62571144104,49647.60891151428,1
2019-03-22,59737.11866188049,59737.11866188049,0
2019-03-29,59737.11866188049,59737.11866188049,0
2019-04-05,59737.11866188049,59737.11866188049,0
2019-04-12,59737.11866188049,59737.11866188049,0
2019-04-19,59737.11866188049,59737.11866188049,0
2019-04-26,59737.11866188049,59737.11866188049,0
2019-05-03,59737.11866188049,59737.11866188049,0
2019-05-10,59737.11866188049,59737.11866188049,0
2019-05-17,59620.11866188049,30448.902772903442,3
2019-05-24,59262.24415779114,30448.902772903442,3
2019-05-31,58149.24582481384,30448.902772903442,3
2019-06-07,59389.84053993225,785.7311344146729,6
2019-06-14,60697.04128456116,20970.77106666565,4
2019-06-21,62102.09642982483,20756.633798599243,4
2019-06-28,61978.23414039612,10477.83518409729,5
2019-07-05,61028.967348098755,10651.303171157837,5
2019-07-12,60636.44127845764,11358.152811050415,5
2019-07-19,58834.166524887085,11358.152811050415,5
2019-07-26,58484.23979759216,11358.152811050415,5
2019-08-02,56900.716161727905,29029.8710231781,3
2019-08-09,56376.3918132782,38208.03864860535,2
2019-08-16,55690.30074882507,55690.30074882507,0
2019-08-23,55573.30074882507,27928.529150009155,3
2019-08-30,56573.206647872925,18505.296712875366,4
2019-09-06,57735.08624076843,8837.939626693726,5
2019-09-13,58201.81845283508,19161.997297286987,4
2019-09-20,58281.12904167175,19161.997297286987,4
2019-09-27,57424.86004829407,19161.997297286987,4
2019-10-04,55918.67141914368,19161.997297286987,4
2019-10-11,57444.78596305847,19161.997297286987,4
2019-10-18,58560.66770744324,19161.997297286987,4
2019-10-25,60638.55282020569,31263.631574630737,3
2019-11-01,61348.99556159973,61348.99556159973,0
2019-11-08,61348.99556159973,61348.99556159973,0
2019-11-15,61348.99556159973,61348.99556159973,0
2019-11-22,61348.99556159973,61348.99556159973,0
2019-11-29,61348.99556159973,61348.99556159973,0
2019-12-06,61309.99556159973,51234.385972976685,1
2019-12-13,61249.05291938782,51234.385972976685,1
2019-12-20,61331.938203811646,40994.312534332275,2
2019-12-27,61309.14923477173,40994.312534332275,2
2020-01-03,61055.16324996948,40994.312534332275,2
2020-01-10,60757.62824821472,10641.12871170044,5
2020-01-17,61766.68306159973,10979.916522979736,5
2020-01-24,61988.326763153076,21579.52837753296,4
2020-01-31,63056.742153167725,11623.82703781128,5
2020-02-07,64510.624588012695,2293.3639755249023,6
2020-02-14,65285.521364212036,24367.541646957397,4
2020-02-21,64437.13010215759,35362.42455101013,3
2020-02-28,60707.19143486023,52143.074140548706,1
2020-03-06,60267.57877922058,50655.13639640808,1
2020-03-13,58900.622175216675,58900.622175216675,0
2020-03-20,58861.622175216675,49290.24687004089,1
2020-03-27,57914.52985954285,49290.24687004089,1
2020-04-03,58993.64085197449,49290.24687004089,1
2020-04-10,61419.950605392456,61419.950605392456,0
2020-04-17,61419.950605392456,61419.950605392456,0
2020-04-24,61419.950605392456,61419.950605392456,0
2020-05-01,61419.950605392456,61419.950605392456,0
2020-05-08,61419.950605392456,61419.950605392456,0
2020-05-15,61419.950605392456,61419.950605392456,0
2020-05-22,61419.950605392456,61419.950605392456,0
2020-05-29,61419.950605392456,61419.950605392456,0
2020-06-05,61419.950605392456,61419.950605392456,0
2020-06-12,61419.950605392456,61419.950605392456,0
2020-06-19,61419.950605392456,61419.950605392456,0
2020-06-26,61419.950605392456,61419.950605392456,0
2020-07-03,61419.950605392456,61419.950605392456,0
2020-07-10,61419.950605392456,61419.950605392456,0
2020-07-17,61380.950605392456,52033.409101486206,1
2020-07-24,60810.98045158386,52033.409101486206,1
2020-07-31,60805.63725090027,52033.409101486206,1
2020-08-07,60688.079694747925,52033.409101486206,1
2020-08-14,60570.486249923706,41964.12713432312,2
2020-08-21,60869.10124015808,41964.12713432312,2
2020-08-28,60748.15426445007,41964.12713432312,2
2020-09-04,60809.11295890808,52502.18052482605,1
2020-09-11,60977.55149650574,52502.18052482605,1
2020-09-18,61331.573652267456,42479.01121330261,2
2020-09-25,61058.524030685425,42479.01121330261,2
2020-10-02,62103.1233959198,42479.01121330261,2
2020-10-09,63736.63554191589,63736.63554191589,0
