year,pick_by_final,pick_by_sharpe,wf_final_ret,wf_sharpe_ret,fixed_best_ret,fixed_orig_ret,wf_final_eq,wf_sharpe_eq,fixed_best_eq,fixed_orig_eq
2019,"(4, 8, 4, 8, 0.15)","(4, 8, 4, 8, 0.15)",0.3576358819403074,0.3576358819403074,0.2714993350179671,0.276097066230774,135763.58819403074,135763.58819403074,127149.93350179671,127609.70662307739
2020,"(4, 8, 4, 8, 0.15)","(4, 8, 4, 8, 0.15)",0.14575092978653248,0.14575092978653248,0.1453153274002119,0.10742376986633917,155551.25740446663,155551.25740446663,145626.76771752548,141318.02238006593
2021,"(4, 8, 1, 8, 0.1)","(6, 12, 4, 4, 0.15)",0.28374127032576113,0.31951539654546446,0.31539033547873707,0.2695662909142804,199687.56878117943,205252.2790972004,191556.04284263996,179412.59751240158
2022,"(4, 26, 4, 4, 0.15)","(6, 26, 4, 8, 0.1)",-0.21337125520374223,-0.13780497769936895,-0.22422992760237437,-0.17957742508495578,157079.98158175556,176967.49335346604,148603.44522423748,147194.14522332096
2023,"(4, 12, 1, 8, 0.15)","(4, 12, 1, 8, 0.15)",-0.041550549710114515,-0.041119245662656234,0.11224717283208552,0.1676596362385181,150553.22199857896,169690.7235199604,165283.76182376582,171872.66206790257
2024,"(4, 8, 4, 8, 0.15)","(6, 12, 4, 8, 0.15)",0.11867309534104775,0.03452683441674309,0.04490526310107912,0.001136284106089569,168419.83886671823,175549.6070329914,172705.8726347981,172067.95824208163
2025,"(4, 8, 4, 8, 0.15)","(4, 8, 4, 8, 0.15)",0.3229535311062879,0.3217421970107055,0.2652248480105135,0.23171418518326203,222811.6205370769,232031.32328415202,218511.76145488553,211938.54498229313
2026,"(4, 8, 4, 4, 0.15)","(4, 8, 4, 4, 0.1)",-0.09730576641221256,-0.06476713848103355,0.08497935682418811,0.09797932807653087,201130.76503516955,217003.3184370699,237080.75040184215,232704.1412131758
