capital,exit,trail,final,cagr,sharpe,max_dd,monthly,fees,BUY,TAKE_PROFIT,STOP_LOSS,MAX_HOLD,TRAIL_STOP
50000,TP@resistance,,82045.87728500366,0.0473136879513516,0.527493087018152,-0.11969848154285012,249.2707359729872,21216.0,273,202,45,24,0
50000,trail,0.08,126095.90286636353,0.09018111627175607,0.7140941254850367,-0.18058882760094763,591.9164435203015,10842.0,142,0,16,0,120
50000,trail,0.1,182478.63044585034,0.12844705967565329,0.9141975090968012,-0.1947482291734346,1030.4927968810555,7659.3832546348585,101,0,17,0,78
50000,trail,0.15,190600.45888605117,0.1330432291135617,0.8756466331996448,-0.24284241324215294,1093.6689157536885,4727.418190097808,63,0,17,0,40
50000,trail,0.2,205696.90108387754,0.14113356219613094,0.8666810264427928,-0.2744684876457194,1211.0974768056537,3453.992079803467,46,0,16,0,24
50000,trail,0.25,306416.46713279723,0.18438429537825152,0.9583842384243821,-0.25608204382145405,1994.5505285853606,2407.238199005127,30,0,11,0,13
100000,TP@resistance,,201481.29254160204,0.06757425519951732,0.7172962449293815,-0.11227910646313566,789.3781859787917,21876.018488785743,272,201,45,24,0
100000,trail,0.08,266903.10879418766,0.09596579690277407,0.757405096337124,-0.1750983472249752,1298.2656207316859,12011.668025041577,145,0,15,0,124
100000,trail,0.1,347918.719885189,0.12342219963908829,0.8961157927984594,-0.19381564090233128,1928.4503032214263,9412.243076007848,100,0,17,0,77
100000,trail,0.15,443324.4724510593,0.1491236228289783,0.9630175655100116,-0.23124049288476545,2670.5695451646097,6797.068120153427,64,0,16,0,42
100000,trail,0.2,480692.8664264516,0.15783686349533288,0.9572198537384435,-0.25939817800922027,2961.2417893828574,4289.072746293069,43,0,15,0,22
100000,trail,0.25,534708.0146691428,0.1694034772287969,0.9018102456415088,-0.29748361998302975,3381.4017880122756,3392.4323380365367,36,0,13,0,17
