config,monthly,cagr,sharpe,max_dd,worst_trade,stop_share,trades_yr,mean_hold_w
WEEKLY fixed 15% (champion),2922.2606399908095,0.15546337119214781,0.8544944446254229,-0.28725677680666895,-0.24362421232441567,0.03169014084507042,26.115558912386707,7.788732394366197
DAILY  fixed 15%,3036.780205953502,0.15871659706176766,0.8703808737665558,-0.27820344610968184,-0.20606049898635204,0.03169014084507042,26.115558912386707,7.788732394366197
DAILY  trail 15%,2900.70760232147,0.15484086530881225,0.8736585838192676,-0.2827020820096352,-0.20606049898635204,0.12162162162162163,27.219033232628398,7.381756756756757
DAILY  trail 20%,3102.213077414196,0.16053566803312047,0.887188560708004,-0.267396253350367,-0.20606049898635204,0.04195804195804196,26.299471299093653,7.723776223776224
DAILY  trail 25%,2646.7263988800264,0.14724367320502507,0.8243814398609886,-0.2781704533000916,-0.2346755966403915,0.017482517482517484,26.299471299093653,7.748251748251748
DAILY  trail 30%,2824.8203971059775,0.15262228479459128,0.8446066030163613,-0.28713981931993127,-0.24362421232441567,0.0035087719298245615,26.207515105740182,7.7894736842105265
