date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2024-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,1213467,13155962
2024-02-12,SELL,AZN.ST,AstraZeneca,1578,1262.85,1992784.0,2989,"trailing stop (entry 1025.86, P/L +23.1%)",3203262,13604984
2024-02-16,BUY,TEL2-B.ST,Tele2,31775,72.83,2314326.0,3471,dip to support,885464,13882826
2024-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,910464,14337975
2024-04-02,SIP,,monthly deposit,,,25000.0,0,contribution,935464,14869567
2024-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,960464,14887107
2024-06-03,SIP,,monthly deposit,,,25000.0,0,contribution,985464,16061173
2024-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,1010464,16207470
2024-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,1035464,15903205
2024-09-02,SIP,,monthly deposit,,,25000.0,0,contribution,1060464,15958573
2024-09-24,SELL,SAAB-B.ST,SAAB,18332,208.4,3820431.0,5731,"trailing stop (entry 86.90, P/L +139.8%)",4875165,15621923
2024-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,4900165,15493809
2024-10-04,BUY,AZN.ST,AstraZeneca,1608,1594.61,2564127.0,3846,dip to support,2332192,15381644
2024-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,2357192,15469985
2024-11-05,SELL,AZN.ST,AstraZeneca,1608,1408.56,2264966.0,3397,"support broke (entry 1594.61, P/L -11.7%)",4618760,15380140
2024-11-15,BUY,ESSITY-B.ST,Essity,9101,278.54,2534990.0,3802,dip to support,2079968,15207230
2024-12-02,SIP,,monthly deposit,,,25000.0,0,contribution,2104968,15526323
2025-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,2129968,15347869
2025-02-03,SIP,,monthly deposit,,,25000.0,0,contribution,2154968,16029806
2025-02-04,SELL,ESSITY-B.ST,Essity,9101,258.57,2353249.0,3530,"support broke (entry 278.54, P/L -7.2%)",4504686,16032796
2025-02-07,BUY,ERIC-B.ST,Ericsson,34182,79.18,2706613.0,4060,dip to support,1794013,16235696
2025-03-03,SIP,,monthly deposit,,,25000.0,0,contribution,1819013,16925583
2025-03-31,SELL,ATCO-A.ST,Atlas Copco,14234,154.1,2193462.0,3290,"trailing stop (entry 122.25, P/L +26.1%)",4009185,16202108
2025-03-31,SELL,ERIC-B.ST,Ericsson,34182,75.18,2569750.0,3855,"support broke (entry 79.18, P/L -5.1%)",6575081,16198253
2025-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,6600081,16240774
2025-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,6625081,16958593
2025-06-02,SIP,,monthly deposit,,,25000.0,0,contribution,6650081,17447112
2025-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,6675081,17083625
2025-07-18,BUY,TELIA.ST,Telia,87004,32.88,2860715.0,4291,dip to support,3810075,17160061
2025-07-25,BUY,EPI-A.ST,Epiroc,14299,203.27,2906611.0,4360,dip to support,899105,17436106
2025-07-30,SELL,TEL2-B.ST,Tele2,31775,140.34,4459327.0,6689,"trailing stop (entry 72.83, P/L +92.7%)",5351742,17311381
2025-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,5376742,17149560
2025-08-08,BUY,SKA-B.ST,Skanska,13026,221.98,2891452.0,4337,dip to support,2480953,17345511
2025-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,2505953,17478529
2025-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,2530953,17879032
2025-11-03,SIP,,monthly deposit,,,25000.0,0,contribution,2555953,18366501
2025-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,2580953,18644600
2026-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,2605953,19515173
2026-02-02,SIP,,monthly deposit,,,25000.0,0,contribution,2630953,21018914
2026-03-02,SIP,,monthly deposit,,,25000.0,0,contribution,2655953,21544583
2026-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,2680953,21284608
2026-05-04,SIP,,monthly deposit,,,25000.0,0,contribution,2705953,21800387
2026-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,2730953,22422292
2026-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,2755953,22673230
